arm,ndets,E0,err_mHa,S2_r0,S2_r1,ndets_symm,dE0_symm_uHa,symm_pair_S2_span
fe2s2bs,1011,-116.456202,+149.4,4.978,4.977,2020,+0.0,"[4.978,4.978]"
fe2s2bs,5574,-116.524393,+81.2,4.978,4.949,11146,+0.0,"[4.978,4.978]"
fe2s2bs,25734,-116.569067,+36.5,4.893,4.921,51466,-0.0,"[4.893,4.893]"
fe2s2bs,65124,-116.584165,+21.4,4.779,4.863,130246,-0.0,"[4.779,4.779]"
fe2s2bs,116270,-116.590009,+15.6,4.698,4.816,232538,-0.0,"[4.698,4.698]"
fe2s2bs,155030,-116.592307,+13.3,4.659,4.809,310058,-0.0,"[4.659,4.659]"
fe2s2,1003,-116.060455,+545.2,3.033,3.015,,,
fe2s2,5053,-116.155646,+450.0,2.050,2.073,,,
fe2s2,24570,-116.430693,+174.9,4.672,4.461,,,
fe2s2,43566,-116.563316,+42.3,4.928,4.927,,,
fe2s2,68825,-116.579203,+26.4,4.824,4.876,,,
fe2s2deep,33632,-116.539233,+66.4,4.955,4.934,45557,-0.0,"[4.955,4.955]"
fe2s2deep,71412,-116.580273,+25.3,4.810,4.873,121117,-0.0,"[4.810,4.810]"
fe2s2deep,109151,-116.587386,+18.2,4.745,4.835,196595,-0.0,"[4.745,4.745]"
fe2s2deep,170448,-116.591986,+13.6,4.669,4.810,319189,-0.0,"[4.669,4.669]"
fe4s4,1106,-326.184317,+1055.3,5.293,5.270,2097,-0.0,
fe4s4,5905,-326.385018,+854.6,6.053,5.914,11695,-0.0,"[6.053,6.053]"
fe4s4,17993,-326.445889,+793.7,6.464,6.302,35871,-0.0,"[6.464,6.464]"
fe4s4,40435,-326.484822,+754.8,7.004,9.284,80755,-0.0,"[7.004,7.004]"
